epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,161.698,0.76608,0.43168,0.93056,0.84121,0.77882,0.85779,0.53215,1.32459,0.80384,1.27058,0.0002972,0.0002972,0.0002972
88,163.509,0.77347,0.43572,0.91659,0.82651,0.77905,0.85129,0.52864,1.32539,0.80771,1.27289,0.0002774,0.0002774,0.0002774
89,165.33,0.77701,0.43087,0.90526,0.85211,0.76599,0.85141,0.53123,1.32538,0.80276,1.28131,0.0002576,0.0002576,0.0002576
90,167.087,0.79455,0.44092,0.91092,0.83639,0.78,0.85298,0.53678,1.32795,0.79823,1.2864,0.0002378,0.0002378,0.0002378
91,169.617,0.72197,0.41945,0.89034,0.82752,0.78458,0.85097,0.53308,1.33845,0.79718,1.29525,0.000218,0.000218,0.000218
92,171.359,0.80524,0.46519,0.92896,0.81786,0.79768,0.84547,0.52315,1.36758,0.80284,1.32401,0.0001982,0.0001982,0.0001982
93,173.128,0.72265,0.39983,0.90629,0.82449,0.78479,0.8398,0.51967,1.37434,0.79821,1.33614,0.0001784,0.0001784,0.0001784
94,174.832,0.73011,0.41086,0.88939,0.8427,0.7752,0.84503,0.52263,1.37462,0.79079,1.34292,0.0001586,0.0001586,0.0001586
95,176.51,0.74566,0.42305,0.8888,0.84078,0.78279,0.84569,0.52398,1.37412,0.77703,1.35807,0.0001388,0.0001388,0.0001388
96,178.237,0.7094,0.404,0.90865,0.8342,0.78353,0.84651,0.52392,1.3719,0.77624,1.35571,0.000119,0.000119,0.000119
97,179.92,0.68044,0.38813,0.88269,0.83336,0.78253,0.84662,0.52619,1.36275,0.78438,1.33845,9.92e-05,9.92e-05,9.92e-05
98,181.603,0.7017,0.38843,0.89111,0.83509,0.78471,0.84557,0.52726,1.36216,0.78477,1.33645,7.94e-05,7.94e-05,7.94e-05
99,183.344,0.70816,0.38677,0.89027,0.83322,0.78761,0.84556,0.52749,1.36328,0.78569,1.33839,5.96e-05,5.96e-05,5.96e-05
100,185.052,0.69818,0.38863,0.89376,0.84979,0.77209,0.84687,0.52603,1.35907,0.78533,1.33321,3.98e-05,3.98e-05,3.98e-05
